PARTITION,NODELIST,CPUS,MEMORY,GRES,STATE,AVAIL_FEATURES
sched_system_all,node1237,52,514000,gpu:8,inval,node1237,centos7
sched_system_all,node1602,96,386000,(null),planned,node1602,rocky8
sched_system_all,node1603,96,386000,(null),planned,node1603,rocky8
sched_system_all,node1604,96,386000,(null),planned,node1604,rocky8
sched_system_all,node1605,96,386000,(null),planned,node1605,rocky8
sched_system_all,node1606,96,386000,(null),planned,node1606,rocky8
sched_system_all,node1607,96,386000,(null),planned,node1607,rocky8
sched_system_all,node3404,128,1031000,gpu:l40s:4,down$,node3404,rocky8
sched_system_all,node3506,128,1031000,gpu:l40s:4,down$,node3506,rocky8
sched_system_all,node359,20,63000,(null),down*,node359,centos7
sched_system_all,node391,20,63000,(null),down*,node391,centos7
sched_system_all,node124,16,64000,(null),drained,node124,centos7
sched_system_all,node145,16,64000,gpu:1,drained,node145,centos7
sched_system_all,node213,16,64000,(null),drained,node213,centos7
sched_system_all,node443,28,128000,(null),drained,node443,centos7
sched_system_all,node444,28,128000,(null),drained,node444,centos7
sched_system_all,node446,28,128000,(null),drained,node446,centos7
sched_system_all,node1018,28,95000,(null),drained,node1018,centos7
sched_system_all,node1048,20,31000,(null),drained,node1048,centos7
sched_system_all,node1250,128,257000,(null),drained,node1250,centos7
sched_system_all,node484,32,128000,(null),reserved,node484,centos8
sched_system_all,node485,32,128000,(null),reserved,node485,centos8
sched_system_all,node486,32,128000,(null),reserved,node486,centos8
sched_system_all,node487,32,128000,(null),reserved,node487,centos8
sched_system_all,node488,32,128000,(null),reserved,node488,centos8
sched_system_all,node489,32,128000,(null),reserved,node489,centos8
sched_system_all,node490,32,128000,(null),reserved,node490,centos8
sched_system_all,node491,32,128000,(null),reserved,node491,centos8
sched_system_all,node492,32,128000,(null),reserved,node492,centos8
sched_system_all,node493,32,128000,(null),reserved,node493,centos8
sched_system_all,dtn001,64,257000,(null),mixed,dtn001,rocky8
sched_system_all,node049,16,64000,(null),mixed,node049,centos7
sched_system_all,node050,16,64000,(null),mixed,node050,centos7
sched_system_all,node073,16,64000,gpu:1,mixed,node073,centos7
sched_system_all,node075,16,64000,gpu:1,mixed,node075,centos7
sched_system_all,node077,16,64000,gpu:1,mixed,node077,centos7
sched_system_all,node078,16,64000,gpu:1,mixed,node078,centos7
sched_system_all,node085,16,64000,gpu:1,mixed,node085,centos7
sched_system_all,node086,16,64000,gpu:1,mixed,node086,centos7
sched_system_all,node087,16,64000,gpu:1,mixed,node087,centos7
sched_system_all,node113,16,64000,(null),mixed,node113,centos7
sched_system_all,node114,16,64000,(null),mixed,node114,centos7
sched_system_all,node116,16,64000,(null),mixed,node116,centos7
sched_system_all,node117,16,64000,(null),mixed,node117,centos7
sched_system_all,node122,16,64000,(null),mixed,node122,centos7
sched_system_all,node125,16,64000,(null),mixed,node125,centos7
sched_system_all,node126,16,64000,(null),mixed,node126,centos7
sched_system_all,node129,16,64000,(null),mixed,node129,centos7
sched_system_all,node131,16,64000,(null),mixed,node131,centos7
sched_system_all,node133,16,64000,(null),mixed,node133,centos7
sched_system_all,node135,16,64000,(null),mixed,node135,centos7
sched_system_all,node136,16,64000,(null),mixed,node136,centos7
sched_system_all,node137,16,64000,(null),mixed,node137,centos7
sched_system_all,node139,16,64000,(null),mixed,node139,centos7
sched_system_all,node143,16,64000,(null),mixed,node143,centos7
sched_system_all,node144,16,64000,(null),mixed,node144,centos7
sched_system_all,node146,16,64000,gpu:1,mixed,node146,centos7
sched_system_all,node149,16,64000,gpu:1,mixed,node149,centos7
sched_system_all,node152,16,64000,gpu:1,mixed,node152,centos7
sched_system_all,node154,16,64000,gpu:1,mixed,node154,centos7
sched_system_all,node156,16,64000,gpu:1,mixed,node156,centos7
sched_system_all,node158,16,64000,gpu:1,mixed,node158,centos7
sched_system_all,node159,16,64000,gpu:1,mixed,node159,centos7
sched_system_all,node160,16,64000,gpu:1,mixed,node160,centos7
sched_system_all,node161,16,64000,gpu:1,mixed,node161,centos7
sched_system_all,node168,16,64000,gpu:1,mixed,node168,centos7
sched_system_all,node169,16,64000,gpu:1,mixed,node169,centos7
sched_system_all,node170,16,64000,gpu:1,mixed,node170,centos7
sched_system_all,node172,16,64000,gpu:1,mixed,node172,centos7
sched_system_all,node173,16,64000,gpu:1,mixed,node173,centos7
sched_system_all,node177,16,64000,gpu:1,mixed,node177,centos7
sched_system_all,node235,48,128000,gpu:8,mixed,node235,centos7
sched_system_all,node262,20,64000,(null),mixed,node262,centos7
sched_system_all,node276,20,64000,(null),mixed,node276,centos7
sched_system_all,node289,20,64000,(null),mixed,node289,centos7
sched_system_all,node331,20,63000,(null),mixed,node331,centos7
sched_system_all,node332,20,63000,(null),mixed,node332,centos7
sched_system_all,node333,20,63000,(null),mixed,node333,centos7
sched_system_all,node334,20,63000,(null),mixed,node334,centos7
sched_system_all,node335,20,63000,(null),mixed,node335,centos7
sched_system_all,node336,20,63000,(null),mixed,node336,centos7
sched_system_all,node337,20,63000,(null),mixed,node337,centos7
sched_system_all,node339,48,1031000,(null),mixed,node339,centos7
sched_system_all,node360,20,63000,(null),mixed,node360,centos7
sched_system_all,node361,20,63000,(null),mixed,node361,centos7
sched_system_all,node363,20,63000,(null),mixed,node363,centos7
sched_system_all,node364,20,63000,(null),mixed,node364,centos7
sched_system_all,node365,20,63000,(null),mixed,node365,centos7
sched_system_all,node366,20,63000,(null),mixed,node366,centos7
sched_system_all,node367,20,63000,(null),mixed,node367,centos7
sched_system_all,node368,20,63000,(null),mixed,node368,centos7
sched_system_all,node369,20,63000,(null),mixed,node369,centos7
