PARTITION|NODELIST|CPUS|MEMORY|GRES|STATE|AVAIL_FEATURES
sched_system_all|node3906|192|1023428|gpu:a100:7(S:2-3,6-7,10-11,14-15)|inval|node3906,rocky8
sched_system_all|node2703|128|2055056|gpu:h100:4|completing|node2703,rocky8
sched_system_all|node1236|52|514000|gpu:8|mixed-|node1236,centos7
sched_system_all|node1702|128|2055056|gpu:h100:4|mixed-|node1702,rocky8
sched_system_all|node1703|128|2055056|gpu:h100:4|mixed-|node1703,rocky8
sched_system_all|node1802|128|2055056|gpu:h100:4|mixed-|node1802,rocky8
sched_system_all|node1803|128|2055056|gpu:h100:4|mixed-|node1803,rocky8
sched_system_all|node1908|192|378039|(null)|mixed-|node1908,rocky8
sched_system_all|node1910|192|378039|(null)|mixed-|node1910,rocky8
sched_system_all|node1911|192|378039|(null)|mixed-|node1911,rocky8
sched_system_all|node2434|120|2055009|gpu:h200:8(S:0-1)|mixed-|node2434,rocky8
sched_system_all|node2435|64|2055058|gpu:h100:4|mixed-|node2435,rocky8
sched_system_all|node2641|64|1023121|gpu:h100:4|mixed-|node2641,rocky8
sched_system_all|node2702|128|2055056|gpu:h100:4|mixed-|node2702,rocky8
sched_system_all|node2802|128|2055056|gpu:h100:4|mixed-|node2802,rocky8
sched_system_all|node2803|128|2055056|gpu:h100:4|mixed-|node2803,rocky8
sched_system_all|node2900|224|2055024|gpu:h100:8|mixed-|node2900,rocky8
sched_system_all|node3101|240|2055009|gpu:h200:8(S:0-1)|mixed-|node3101,rocky8
sched_system_all|node3409|96|1023099|gpu:h100:8(S:0-1)|mixed-|node3409,rocky8
sched_system_all|node3614|96|1023129|gpu:h100:4(S:0-1)|mixed-|node3614,rocky8
sched_system_all|node3804|256|2055360|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3804,rocky8
sched_system_all|node3805|256|1023425|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3805,rocky8
sched_system_all|node3806|256|2055360|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3806,rocky8
sched_system_all|node3807|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3807,rocky8
sched_system_all|node3808|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3808,rocky8
sched_system_all|node3809|256|1023425|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3809,rocky8
sched_system_all|node3810|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3810,rocky8
sched_system_all|node3811|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3811,rocky8
sched_system_all|node3900|152|2055145|gpu:a100:8|mixed-|node3900,rocky8
sched_system_all|node3903|128|1023465|gpu:a100:6(S:0-7)|mixed-|node3903,rocky8
sched_system_all|node3904|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3904,rocky8
sched_system_all|node3905|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3905,rocky8
sched_system_all|node3907|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3907,rocky8
sched_system_all|node3909|192|1023672|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3909,rocky8
sched_system_all|node3910|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3910,rocky8
sched_system_all|node3911|192|1023428|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node3911,rocky8
sched_system_all|node4000|256|1023294|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node4000,rocky8
sched_system_all|node4001|256|1023297|gpu:a100:8(S:2-3,6-7,10-11,14-15)|mixed-|node4001,rocky8
sched_system_all|node4002|96|1538451|gpu:h200:4(S:0-7)|mixed-|node4002,rocky8
sched_system_all|node4109|96|1023099|gpu:h100:8(S:0-1)|mixed-|node4109,rocky8
sched_system_all|node5005|128|2055020|gpu:rtx_pro_6000:8(S:0-1)|mixed-|node5005,rocky8
sched_system_all|node5102|64|1023119|gpu:h200:4(S:0)|mixed-|node5102,rocky8
sched_system_all|node2807|56|248982|(null)|planned|node2807,rocky8
sched_system_all|node3908|192|1023443|gpu:a100:8(S:0-15)|planned|node3908,rocky8
sched_system_all|node484|32|120334|(null)|drained*|node484,centos8
sched_system_all|node088|16|64000|gpu:1|drained*|node088,centos7
sched_system_all|node127|24|128000|(null)|drained*|node127,centos7
sched_system_all|node130|16|64000|(null)|drained*|node130,centos7
sched_system_all|node136|16|64000|(null)|drained*|node136,centos7
sched_system_all|node140|16|64000|(null)|drained*|node140,centos7
sched_system_all|node141|16|64000|(null)|drained*|node141,centos7
sched_system_all|node178|16|64000|gpu:1|drained*|node178,centos7
sched_system_all|node216|16|64000|(null)|drained*|node216,centos7
sched_system_all|node245|20|64000|(null)|drained*|node245,centos7
sched_system_all|node249|20|64000|(null)|drained*|node249,centos7
sched_system_all|node272|20|64000|(null)|drained*|node272,centos7
sched_system_all|node338|20|63000|(null)|drained*|node338,centos7
sched_system_all|node376|20|63000|(null)|drained*|node376,centos7
sched_system_all|node391|20|63000|(null)|drained*|node391,centos7
sched_system_all|node423|24|257000|gpu:4|drained*|node423,centos7
sched_system_all|node433|28|64000|(null)|drained*|node433,centos7
sched_system_all|node447|28|128000|(null)|drained*|node447,centos7
sched_system_all|node533|32|128000|(null)|drained*|node533,centos7
sched_system_all|node535|32|128000|(null)|drained*|node535,centos7
sched_system_all|node586|32|128000|(null)|drained*|node586,centos7
sched_system_all|node622|28|128000|(null)|drained*|node622,centos7
sched_system_all|node624|28|128000|(null)|drained*|node624,centos7
sched_system_all|node628|28|128000|(null)|drained*|node628,centos7
sched_system_all|node629|28|128000|(null)|drained*|node629,centos7
sched_system_all|node651|28|128000|(null)|drained*|node651,centos7
sched_system_all|node667|32|128000|(null)|drained*|node667,centos7
sched_system_all|node672|28|128000|(null)|drained*|node672,centos7
sched_system_all|node678|28|128000|(null)|drained*|node678,centos7
sched_system_all|node724|28|128000|(null)|drained*|node724,centos7
sched_system_all|node739|28|128000|gpu:2|drained*|node739,centos7
sched_system_all|node753|28|128000|gpu:2|drained*|node753,centos7
sched_system_all|node963|28|128000|(null)|drained*|node963,centos7
sched_system_all|node1027|36|191000|(null)|drained*|node1027,centos7
sched_system_all|node1029|36|191000|(null)|drained*|node1029,centos7
sched_system_all|node1030|36|191000|(null)|drained*|node1030,centos7
sched_system_all|node1037|24|63000|(null)|drained*|node1037,centos7
sched_system_all|node1060|20|31000|(null)|drained*|node1060,centos7
sched_system_all|node1064|20|31000|(null)|drained*|node1064,centos7
sched_system_all|node1072|20|31000|(null)|drained*|node1072,centos7
sched_system_all|node1081|16|31000|(null)|drained*|node1081,centos7
sched_system_all|node1101|16|31000|(null)|drained*|node1101,centos7
sched_system_all|node1110|28|578000|(null)|drained*|node1110,centos7
sched_system_all|node1119|64|385000|gpu:4|drained*|node1119,centos7
sched_system_all|node1140|40|191000|(null)|drained*|node1140,centos7
sched_system_all|node1150|40|191000|(null)|drained*|node1150,centos7
sched_system_all|node1170|40|191000|(null)|drained*|node1170,centos7
sched_system_all|node1218|40|63000|(null)|drained*|node1218,centos7
sched_system_all|node1221|40|63000|(null)|drained*|node1221,centos7
sched_system_all|node1227|48|772000|(null)|drained*|node1227,centos7
sched_system_all|node1311|48|128298|(null)|drained*|node1311,centos7
sched_system_all|node1916|192|378039|(null)|drained*|node1916,rocky8
sched_system_all|node2906|64|1022858|gpu:h100:4(S:0-1)|drained*|node2906,rocky8
sched_system_all|node1613|96|377765|(null)|completing|node1613,rocky8
sched_system_all|node500|32|128000|(null)|completing|node500,centos7
sched_system_all|node2904|64|1023121|gpu:h100:4|completing|node2904,rocky8
sched_system_all|node1139|40|191000|(null)|draining|node1139,centos7
sched_system_all|node1141|40|191000|(null)|draining|node1141,centos7
sched_system_all|node1142|40|191000|(null)|draining|node1142,centos7
sched_system_all|node1143|40|191000|(null)|draining|node1143,centos7
sched_system_all|node1144|40|191000|(null)|draining|node1144,centos7
sched_system_all|node1145|40|191000|(null)|draining|node1145,centos7
sched_system_all|node1146|40|191000|(null)|draining|node1146,centos7
sched_system_all|node1163|40|191000|(null)|draining|node1163,centos7
sched_system_all|node587|32|128000|(null)|drained|node587,centos7
sched_system_all|node590|32|128000|(null)|drained|node590,centos7
sched_system_all|node623|28|128000|(null)|drained|node623,centos7
sched_system_all|node630|28|128000|(null)|drained|node630,centos7
sched_system_all|node631|28|128000|(null)|drained|node631,centos7
sched_system_all|node663|28|128000|(null)|drained|node663,centos7
sched_system_all|node682|28|128000|(null)|drained|node682,centos7
sched_system_all|node686|28|128000|(null)|drained|node686,centos7
sched_system_all|node698|28|128000|(null)|drained|node698,centos7
sched_system_all|node730|28|128000|(null)|drained|node730,centos7
sched_system_all|node950|28|128000|(null)|drained|node950,centos7
sched_system_all|node1045|20|31000|(null)|drained|node1045,centos7
sched_system_all|node1131|40|191000|(null)|drained|node1131,centos7
sched_system_all|node1132|40|191000|(null)|drained|node1132,centos7
sched_system_all|node1133|40|191000|(null)|drained|node1133,centos7
sched_system_all|node1134|40|191000|(null)|drained|node1134,centos7
sched_system_all|node1135|40|191000|(null)|drained|node1135,centos7
sched_system_all|node1136|40|191000|(null)|drained|node1136,centos7
sched_system_all|node1137|40|191000|(null)|drained|node1137,centos7
sched_system_all|node1138|40|191000|(null)|drained|node1138,centos7
sched_system_all|node1213|40|191000|(null)|drained|node1213,centos7
sched_system_all|node1245|128|257000|(null)|drained|node1245,centos7
sched_system_all|node1354|128|257000|(null)|drained|node1354,centos7
sched_system_all|node1413|64|378098|(null)|drained|node1413,rocky8
sched_system_all|node1427|64|378100|(null)|drained|node1427,rocky8
sched_system_all|node2640|64|1023121|gpu:h100:4|drained|node2640,rocky8
sched_system_all|node4104|64|1022859|gpu:l40s:4(S:0-1)|drained|node4104,rocky8
sched_system_all|node485|32|120334|(null)|reserved|node485,centos8
sched_system_all|node486|32|120334|(null)|reserved|node486,centos8
sched_system_all|node487|32|120334|(null)|reserved|node487,centos8
sched_system_all|node488|32|120334|(null)|reserved|node488,centos8
sched_system_all|node489|32|120335|(null)|reserved|node489,centos8
sched_system_all|node490|32|120334|(null)|reserved|node490,centos8
sched_system_all|node491|32|120334|(null)|reserved|node491,centos8
sched_system_all|node492|32|120334|(null)|reserved|node492,centos8
sched_system_all|node493|32|120334|(null)|reserved|node493,centos8
sched_system_all|node3200|120|2055009|gpu:h200:8(S:0-1)|reserved|node3200,rocky8
sched_system_all|node3201|120|2055009|gpu:h200:8(S:0-1)|reserved|node3201,rocky8
sched_system_all|node3300|120|2055009|gpu:h200:8(S:0-1)|reserved|node3300,rocky8
sched_system_all|node3400|120|2055009|gpu:h200:8(S:0-1)|reserved|node3400,rocky8
sched_system_all|node247|20|64000|(null)|mixed|node247,centos7
sched_system_all|node343|20|63000|(null)|mixed|node343,centos7
sched_system_all|node347|20|63000|(null)|mixed|node347,centos7
sched_system_all|node348|20|63000|(null)|mixed|node348,centos7
sched_system_all|node349|20|63000|(null)|mixed|node349,centos7
sched_system_all|node407|20|128000|(null)|mixed|node407,centos7
sched_system_all|node669|28|128000|(null)|mixed|node669,centos7
sched_system_all|node671|28|128000|(null)|mixed|node671,centos7
sched_system_all|node964|28|128000|(null)|mixed|node964,centos7
sched_system_all|node1031|56|1546000|(null)|mixed|node1031,centos7
sched_system_all|node1034|48|257000|gpu:4|mixed|node1034,centos7
sched_system_all|node1035|48|257000|gpu:4|mixed|node1035,centos7
sched_system_all|node1115|64|385000|gpu:4|mixed|node1115,centos7
sched_system_all|node1116|64|385000|gpu:4|mixed|node1116,centos7
sched_system_all|node1117|64|385000|gpu:4|mixed|node1117,centos7
sched_system_all|node1118|64|385000|gpu:4|mixed|node1118,centos7
sched_system_all|node1120|64|385000|gpu:4|mixed|node1120,centos7
sched_system_all|node1121|64|385000|gpu:4|mixed|node1121,centos7
sched_system_all|node1122|64|385000|gpu:4|mixed|node1122,centos7
sched_system_all|node1123|64|385000|gpu:4|mixed|node1123,centos7
sched_system_all|node1204|64|515000|gpu:8|mixed|node1204,centos7
sched_system_all|node1208|64|515000|gpu:8|mixed|node1208,centos7
sched_system_all|node1223|52|773000|(null)|mixed|node1223,centos7
sched_system_all|node1225|48|772000|(null)|mixed|node1225,centos7
sched_system_all|node1238|128|515000|(null)|mixed|node1238,centos7
sched_system_all|node1239|48|772000|(null)|mixed|node1239,centos7
sched_system_all|node1240|48|772000|(null)|mixed|node1240,centos7
