PARTITION,NODE_COUNT,CPUS,MEMORY,OS,MISC_FEATURES,NODELIST
mit_data_transfer,2,64,250GB,rocky8,(null),dtn001-02
mit_normal*,3,192,1510GB,rocky8,(null),node1623-1625
mit_normal*,1,192,1510GB,rocky8,,node1622
mit_normal*,2,64,375GB,rocky8,high_l3,node2704-2705
mit_normal*,44,96,375GB,rocky8,(null),node1600-1619;node3103-3114;node3303-3314
mit_ood,1,192,1510GB,rocky8,(null),node1620
mit_ood,1,192,1510GB,rocky8,,node1621
mit_preemptable,4,192,1510GB,rocky8,(null),node1620;node1623-1625
mit_preemptable,2,192,1510GB,rocky8,,node1621-1622
mit_preemptable,2,96,1510GB,rocky8,(null),node3612-3613
mit_preemptable,20,96,375GB,rocky8,(null),node1600-1619
mit_preemptable,27,96,376GB,rocky8,(null),node1626-1631;node2503-2513;node2523-2524;node3602-3607;node3610-3611
mit_preemptable,4,96,377GB,rocky8,(null),node2525;node3621-3623
mit_preemptable,2,96,754GB,rocky8,(null),node3608-3609
mit_quicktest,20,96,375GB,rocky8,(null),node1600-1619
mit_quicktest,2,192,1510GB,rocky8,,node1621-1622
mit_quicktest,4,192,1510GB,rocky8,(null),node1620;node1623-1625
newnodes,2,16,62GB,centos7,(null),node119;node129
newnodes,3,20,250GB,centos7,(null),node275;node282;node286
newnodes,1,20,61GB,centos7,(null),node395
newnodes,20,20,62GB,centos7,(null),node254-257;node262;node265-266;node271-274;node276;node278;node281;node284;node287;node289;node318-320
newnodes,2,24,502GB,centos7,(null),node424-425
newnodes,2,48,1006GB,centos7,(null),node339;node342
ou_ki,9,96,376GB,rocky8,(null),node3602-3607;node3610-3611;node4512
ou_ki,5,96,377GB,rocky8,(null),node4509-4511;node4513-4514
ou_ki_highmem,2,96,1510GB,rocky8,(null),node3612-3613
ou_ki_highmem,2,96,754GB,rocky8,(null),node3608-3609
ou_mki,5,64,376GB,centos7,(null),node1399-1403
ou_mki,1,64,376GB,rocky8,(null),node1410
ou_mki,22,64,377GB,rocky8,(null),node1404-1409;node1411-1414;node1447-1458
ou_mki_preempt,1,64,376GB,rocky8,(null),node1410
ou_mki_preempt,10,64,377GB,rocky8,(null),node1404-1409;node1411-1414
ou_mki_preempt,3,96,377GB,rocky8,(null),node3621-3623
ou_sloan_batch,9,96,375GB,rocky8,(null),node4405-4413
pi_andrewv,4,64,377GB,rocky8,(null),node1459-1462
pi_ccoley,4,64,250GB,rocky8,(null),node2519-2522
pi_eilers,3,96,377GB,rocky8,(null),node3621-3623
pi_ghoniem,1,192,1510GB,rocky8,(null),node2437
pi_keating,2,20,61GB,centos7,(null),node329-330
pi_laub,1,96,376GB,rocky8,r9-pa-c14,node3601
pi_lnecib,15,64,377GB,rocky8,(null),node1415-1426;node1428-1430
pi_melkin,1,96,377GB,rocky8,(null),node3616
pi_mghassem,1,256,2003GB,rocky8,(null),node3803
pi_mick,6,96,376GB,rocky8,(null),node1626-1631
pi_mvogelsb,8,64,376GB,rocky8,(null),node1432;node1434-1436;node1438-1441
pi_mvogelsb,8,64,377GB,rocky8,(null),node1431;node1433;node1437;node1442-1446
pi_qmqi,1,96,377GB,rocky8,(null),node3617
pi_seager,14,96,376GB,rocky8,(null),node2502-2513;node2523-2524
pi_seager,1,96,377GB,rocky8,(null),node2525
pi_zhang_f,1,192,1510GB,rocky8,(null),node3618
reimagepool_llgrid,11,16,62GB,centos7,(null),node129-130;node133;node135-137;node139-141;node143-144
sched_17806,16,16,62GB,centos7,(null),node113-114;node116-118;node125-126;node130;node133;node135-137;node139-140;node143-144
sched_bu_moc,2,16,62GB,centos7,(null),node125-126
sched_bu_rebbi,13,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node143-144
sched_engaging_default,13,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node143-144
sched_engaging_ood,4,16,62GB,centos7,(null),node049-050;node052;node141
sched_mit_andrewv,4,64,377GB,rocky8,(null),node1459-1462
sched_mit_arupc,1,40,186GB,centos7,(null),node1191
sched_mit_arupc_long,3,40,186GB,centos7,(null),node1192-1194
sched_mit_arupc_r8,2,64,250GB,rocky8,(null),node2412-2413
sched_mit_ase,57,40,186GB,centos7,(null),node1131-1139;node1141-1149;node1151-1169;node1171-1190
sched_mit_binz,11,28,125GB,centos7,(null),node447-450;node452-456;node460-461
sched_mit_binz_long,1,28,125GB,centos7,(null),node466
sched_mit_buehler,39,32,92GB,centos7,(null),node1001-1014;node971;node973;node975-980;node982;node984-999
