PARTITION,NODE_COUNT,CPUS,MEMORY,GPU_COUNT,GPU_TYPE,GPU_MEMORY,OS,MISC_FEATURES,NODELIST
MIT-6.S198,12,28,125GB,2,Tesla P100-PCIE-12GB,12GB,centos7,,node737-739;node741;node743;node745-747;node749-752
mit-6345,8,28,125GB,2,Tesla P100-PCIE-12GB,12GB,centos7,,node743;node745-747;node749-752
mit_normal_gpu,10,120,2014GB,8,NVIDIA H200,140GB,rocky8,,node2433-2434;node3000;node3100-3101;node3200-3201;node3300-3301;node3400
mit_normal_gpu,1,64,1007GB,3,NVIDIA L40S,44GB,rocky8,,node3407
mit_normal_gpu,1,64,1007GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2906
mit_normal_gpu,47,64,1007GB,4,NVIDIA L40S,44GB,rocky8,,node2804;node3002-3004;node3006-3008;node3202-3208;node3302;node3402-3406;node3408;node3500-3501;node3503-3512;node4102;node4104-4108;node4200-4207
mit_preemptable,1,64,1007GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2906
mit_preemptable,1,64,1007GB,3,NVIDIA L40S,44GB,rocky8,,node3407
mit_preemptable,2,64,1006GB,4,NVIDIA L40S,44GB,rocky8,,node2643-2644
mit_preemptable,3,64,1006GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2640-2642
mit_preemptable,7,128,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node1702-1703;node1802-1803;node2702-2703;node2802
mit_preemptable,14,128,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node1917-1918;node2100-2104;node2119;node2300-2304;node2319
mit_preemptable,47,64,1007GB,4,NVIDIA L40S,44GB,rocky8,,node2804;node3002-3004;node3006-3008;node3202-3208;node3302;node3402-3406;node3408;node3500-3501;node3503-3512;node4102;node4104-4108;node4200-4207
mit_preemptable,10,120,2014GB,8,NVIDIA H200,140GB,rocky8,,node2433-2434;node3000;node3100-3101;node3200-3201;node3300-3301;node3400
mit_preemptable,4,40,502GB,4,NVIDIA A100 80GB PCIe,80GB,rocky8,,node2414-2417
ou_bcs_high,2,128,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node1702-1703
ou_bcs_low,7,128,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node1702-1703;node1802-1803;node2702-2703;node2802
ou_bcs_normal,5,128,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node1802-1803;node2702-2703;node2802
ou_sloan_gpu,3,64,1006GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2640-2642
ou_sloan_teaching,2,64,1006GB,4,NVIDIA L40S,44GB,rocky8,,node2643-2644
pi_abodner,1,64,1006GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2905
pi_ashia07,2,64,1006GB,4,NVIDIA L40S,44GB,rocky8,,node1632-1633
pi_ccoley,1,64,1006GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2436
pi_cdrennan_gpu,2,48,376GB,3,NVIDIA L40S,44GB,rocky8,,node1804-1805
pi_edboyden,2,96,1510GB,1,NVIDIA L4,22GB,rocky8,,node2809-2810
pi_faez,1,64,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2435
pi_faez,2,224,2014GB,8,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2900-2901
pi_gaias,1,96,1006GB,4,NVIDIA L40S,44GB,rocky8,,node2902
pi_jhm,1,48,1007GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node3614
pi_keating,2,48,376GB,2,NVIDIA H100 NVL,93GB,rocky8,,node1708-1709
pi_keating,1,64,1006GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node1927
pi_laub,1,64,1007GB,4,NVIDIA L40S,44GB,rocky8,r9-pa-c14,node3600
pi_linaresr,1,120,2014GB,8,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2501
pi_melkin,1,48,1007GB,4,NVIDIA L40S,44GB,rocky8,,node3615
pi_mghassem,1,64,1006GB,4,NVIDIA L40S,44GB,rocky8,,node2903
pi_ppliang,1,120,2014GB,8,NVIDIA H200,140GB,rocky8,,node2500
pi_raffaele,1,64,1006GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2904
pi_satra,1,128,2014GB,4,NVIDIA H100 80GB HBM3,79GB,rocky8,,node2802
pi_srmadden,2,64,376GB,2,NVIDIA L40S,44GB,rocky8,,node1704-1705
sched_17806,14,16,62GB,1,Tesla K20m,4GB,centos7,,node073;node146;node149;node152;node154;node156;node158-160;node168-170;node172;node177
sched_any,2,16,62GB,1,Tesla K20m,4GB,centos7,,node087;node170
sched_any,1,48,125GB,8,Tesla K80,11GB,centos7,,node235
sched_bu_rebbi,14,16,62GB,1,Tesla K20m,4GB,centos7,,node073;node146;node149;node152;node154;node156;node158-160;node168-170;node172;node177
sched_bu_rebbi-gputest,1,16,62GB,1,Tesla K20m,4GB,centos7,,node073
sched_engaging_default,14,16,62GB,1,Tesla K20m,4GB,centos7,,node073;node146;node149;node152;node154;node156;node158-160;node168-170;node172;node177
sched_mit_binz_gpu,1,20,125GB,4,NVIDIA GeForce RTX 2080 Ti,11GB,centos7,,node1195
sched_mit_buehler_gpu,1,48,753GB,4,Tesla V100S-PCIE-32GB,32GB,centos7,,node1230
sched_mit_buehler_gpu,2,48,753GB,10,Tesla V100S-PCIE-32GB,32GB,centos7,,node1228-1229
sched_mit_ccoley,1,52,501GB,8,NVIDIA GeForce RTX 2080 Ti,11GB,centos7,,node1236
sched_mit_darwin2,8,28,125GB,2,Tesla P100-PCIE-12GB,12GB,centos7,,node737-741;node753-754;node756
sched_mit_fraenkel_r8,1,64,1006GB,4,NVIDIA A40,44GB,rocky8,,node2403
sched_mit_hill,14,16,62GB,1,Tesla K20m,4GB,centos7,,node073;node146;node149;node152;node154;node156;node158-160;node168-170;node172;node177
sched_mit_hill,1,48,125GB,8,Tesla K80,11GB,centos7,,node235
sched_mit_hill-gputest,1,16,62GB,1,Tesla K20m,4GB,centos7,,node073
sched_mit_hill_cpsfr,4,40,502GB,4,NVIDIA A100 80GB PCIe,80GB,rocky8,,node2414-2417
sched_mit_jhewitt_r8,1,40,502GB,2,NVIDIA A100 80GB PCIe,80GB,rocky8,,node2418
sched_mit_kburdge_r8,4,256,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node2002-2005
sched_mit_keating,1,64,1006GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node1927
sched_mit_mki_preempt_r8,2,128,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node2000-2001
sched_mit_mki_preempt_r8,4,256,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node2002-2005
sched_mit_mki_preempt_r8,1,40,502GB,2,NVIDIA A100 80GB PCIe,80GB,rocky8,,node2418
sched_mit_mki_r8,2,128,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node2000-2001
sched_mit_psfc_gpu_r8,14,128,502GB,4,NVIDIA A100-SXM4-80GB,80GB,rocky8,,node1917-1918;node2100-2104;node2119;node2300-2304;node2319
sched_mit_rafagb,2,48,250GB,4,NVIDIA TITAN V,12GB,centos7,,node1034-1035
sched_mit_rafagb,14,64,375GB,4,NVIDIA GeForce RTX 2080 Ti,11GB,centos7,,node1115-1118;node1121-1130
sched_mit_rafagb_amd,3,64,502GB,8,NVIDIA GeForce RTX 2080 Ti,11GB,centos7,,node1204;node1207-1208
sched_mit_redwine,14,16,62GB,1,Tesla K20m,4GB,centos7,,node073;node146;node149;node152;node154;node156;node158-160;node168-170;node172;node177
sched_mit_rgmark,4,40,376GB,1,Tesla K40m,11GB,centos7,,node309-312
sched_mit_rutledge_gpu,3,20,125GB,4,NVIDIA TITAN V,12GB,centos7,,node1104-1106
sched_mit_sloan_gpu,1,28,250GB,4,Tesla K80,11GB,centos7,,node970
sched_mit_sloan_gpu_r8,4,40,502GB,4,NVIDIA A100 80GB PCIe,80GB,rocky8,,node2414-2417
