node073,Cores per socket,8
node073,Sockets,2
node073,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node077,Cores per socket,8
node077,Sockets,2
node077,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node087,Cores per socket,8
node087,Sockets,2
node087,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node086,Cores per socket,8
node086,Sockets,2
node086,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node085,Cores per socket,8
node085,Sockets,2
node085,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node076,Cores per socket,8
node076,Sockets,2
node076,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1014,Cores per socket,16
node1014,Sockets,2
node1014,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node074,Cores per socket,8
node074,Sockets,2
node074,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node075,Cores per socket,8
node075,Sockets,2
node075,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1007,Cores per socket,16
node1007,Sockets,2
node1007,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node050,Cores per socket,8
node050,Sockets,2
node050,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1015,Cores per socket,14
node1015,Sockets,2
node1015,Model name,IntelR XeonR Gold 6132 CPU @ 2.60GHz
dtn002,Cores per socket,16
dtn002,Sockets,2
dtn002,Model name,IntelR XeonR Gold 6426Y
node049,Cores per socket,8
node049,Sockets,2
node049,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1011,Cores per socket,16
node1011,Sockets,2
node1011,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1005,Cores per socket,16
node1005,Sockets,2
node1005,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1018,Cores per socket,14
node1018,Sockets,2
node1018,Model name,IntelR XeonR Gold 6132 CPU @ 2.60GHz
node1010,Cores per socket,16
node1010,Sockets,2
node1010,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
